#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
0.2%	250	1.0000000000000007	-3663357.9836787377	62954.25454813017	-3600403.7291306076	33.37913601099844	2356.9879859477564	0	--
0.5%	500	2.0000000000000013	-3624698.341652721	118494.02912129053	-3506204.3125314307	62.827021667088296	2338.1842366418114	34.3	16:41
0.8%	750	3.000000000000002	-3592620.6740479674	167328.69342519797	-3425291.9806227693	88.71977369078756	2290.9567189500503	34.1	16:45
1.0%	1000	4.000000000000003	-3557885.754713239	208533.40438082122	-3349352.350332418	110.56702867226167	2284.6412165835272	33.9	16:48
1.2%	1250	4.9999999999998925	-3524829.661368279	244534.48021802376	-3280295.181150255	129.655250993972	2284.6412165835272	33.8	16:50
1.5%	1500	5.999999999999782	-3494843.5859840754	276236.73683593265	-3218606.8491481426	146.46418540357158	2281.720743876738	33.6	16:54
1.8%	1750	6.999999999999672	-3466041.6253272854	302920.128885916	-3163121.4964413694	160.61205481866014	2277.2218310184876	33.4	16:56
2.0%	2000	7.999999999999562	-3437877.5669805463	325974.7823428402	-3111902.7846377064	172.835921481028	2276.945908499119	33.3	16:57
2.2%	2250	8.999999999999453	-3412250.971863229	347449.3457378587	-3064801.62612537	184.22200455808382	2277.128518861147	33.2	16:57
2.5%	2500	9.999999999999343	-3388517.4057097808	365927.5648723577	-3022589.840837423	194.01938829582514	2271.8448105305815	33.1	16:56
2.8%	2750	10.999999999999233	-3363874.1818803046	380083.0050221318	-2983791.1768581728	201.52478035306282	2270.8201389523215	33.1	16:56
3.0%	3000	11.999999999999122	-3342762.581739234	394335.6920062802	-2948426.8897329536	209.08173390260188	2265.4168082613683	33	16:55
3.2%	3250	12.999999999999012	-3318586.4350194633	404536.19907395367	-2914050.2359455097	214.49017079438835	2265.4168082613683	33	16:53
3.5%	3500	13.999999999998902	-3297959.937292017	415880.7013013611	-2882079.235990656	220.5051682801612	2264.5016018183383	32.9	16:52
3.8%	3750	14.999999999998792	-3278345.45291112	425048.7236266471	-2853296.7292844728	225.36616880100178	2260.4268214037074	32.9	16:51
4.0%	4000	15.999999999998682	-3259201.462001944	434235.05907592387	-2824966.4029260203	230.2368791700625	2257.847214890459	32.8	16:50
4.2%	4250	16.999999999999016	-3241396.1288946755	441859.20454164874	-2799536.924353027	234.27929680004976	2252.029021227906	32.8	16:48
4.5%	4500	17.99999999999935	-3221652.6196255423	446769.90464854403	-2774882.714976998	236.88301163956018	2251.249744275765	32.8	16:47
4.8%	4750	18.999999999999684	-3206338.6221488826	454250.8921961157	-2752087.729952767	240.84952514431578	2248.155525537827	32.7	16:45
5.0%	5000	20.000000000000018	-3190967.882824233	460046.6131650301	-2730921.2696592025	243.92248915432225	2244.11781184796	32.7	16:43
5.2%	5250	21.00000000000035	-3177594.315502342	468001.6979296463	-2709592.6175726955	248.14037495478294	2242.8537883017316	32.7	16:42
5.5%	5500	22.000000000000686	-3163700.83563048	473394.43616256566	-2690306.3994679144	250.9996724596197	2243.482234321125	32.7	16:40
5.8%	5750	23.00000000000102	-3150677.666858781	478927.86823181773	-2671749.7986269635	253.93356760257586	2241.2547665141537	32.6	16:38
6.0%	6000	24.000000000001354	-3139129.17311484	484412.674197403	-2654716.498917437	256.8416805749761	2241.182878030046	32.6	16:36
6.2%	6250	25.000000000001688	-3127508.3428261466	489795.78402586177	-2637712.5588002848	259.69587297890484	2243.892922897549	32.6	16:34
6.5%	6500	26.00000000000202	-3116359.4403778017	494661.96724018187	-2621697.47313762	262.27598440316206	2245.1753002149426	32.5	16:32
6.8%	6750	27.000000000002355	-3104378.5719836187	497781.1725616682	-2606597.3994219503	263.92982621924654	2248.298695615976	32.5	16:30
7.0%	7000	28.00000000000269	-3095933.270187443	502285.6851457977	-2593647.5850416454	266.3181753354125	2250.6448907399767	32.5	16:28
7.2%	7250	29.000000000003023	-3086623.9314093273	506653.2193468626	-2579970.7120624646	268.63389679342094	2250.5050479131028	32.5	16:26
7.5%	7500	30.000000000003357	-3078847.2675694916	511464.09236128855	-2567383.175208203	271.1846820553987	2250.2547260904353	32.5	16:24
7.8%	7750	31.00000000000369	-3070621.656734787	514885.0710827074	-2555736.5856520794	272.9985279162161	2254.441619403103	32.4	16:22
8.0%	8000	32.00000000000402	-3062332.355740119	516628.3612175441	-2545703.994522575	273.9228422288073	2256.2219497905285	32.4	16:20
8.2%	8250	33.00000000000347	-3055871.3411475383	520478.1826650784	-2535393.15848246	275.96406588617043	2259.4352104772975	32.4	16:18
8.5%	8500	34.00000000000291	-3050099.892030088	523926.04685267434	-2526173.845177414	277.79216675864177	2260.0237180487784	32.4	16:16
8.8%	8750	35.00000000000236	-3043827.57862735	525520.846455455	-2518306.732171895	278.63774952717097	2259.2501223129743	32.4	16:13
9.0%	9000	36.000000000001805	-3040377.9699549414	529631.6806626676	-2510746.289292274	280.81736542614584	2259.33519023017	32.4	16:11
9.2%	9250	37.00000000000125	-3033954.0534050055	530375.7666643909	-2503578.2867406146	281.2118891645917	2262.536543518406	32.3	16:09
9.5%	9500	38.000000000000696	-3030421.8192922957	532885.2206001638	-2497536.598692132	282.54243314190876	2267.4178602795714	32.3	16:07
9.8%	9750	39.00000000000014	-3025658.4937891997	534843.6131846212	-2490814.8806045786	283.58079747341804	2268.7268885149992	32.3	16:05
10.0%	10000	39.99999999999959	-3021477.877483614	536039.8687752391	-2485438.0087083746	284.2150672038717	2269.594790127936	32.3	16:02
10.2%	10250	40.999999999999034	-3016764.928489685	538178.7943428754	-2478586.1341468096	285.3491523892494	2271.0117396147743	32.3	16:00
10.5%	10500	41.99999999999848	-3012372.1145151183	540632.5015092074	-2471739.613005911	286.6501387296331	2271.3227462170007	32.3	15:57
10.8%	10750	42.999999999997925	-3007876.1681788415	540484.2426333949	-2467391.9255454466	286.5715300126194	2272.476699261952	32.3	15:55
11.0%	11000	43.99999999999737	-3005111.0372861624	542654.7975925227	-2462456.23969364	287.7223854984021	2273.5265854328154	32.3	15:53
11.2%	11250	44.99999999999682	-3001786.795405712	543983.8315951028	-2457802.963810609	288.42705600961347	2277.3316043020423	32.3	15:50
11.5%	11500	45.99999999999626	-3000076.765534673	547752.7489687144	-2452324.0165659585	290.4253833114135	2278.370604145759	32.3	15:48
11.8%	11750	46.99999999999571	-2995012.3118414376	547304.4775893065	-2447707.834252131	290.1877041990089	2280.568772745732	32.2	15:45
